"run_id","job_id","job_name","status","conclusion","started_at","completed_at","duration_s","runner_name","run_attempt"
17884421021,50856258977,"lint","completed","success","2025-09-20T20:21:40Z","2025-09-20T20:22:01Z",21,"GitHub Actions 1000000123",1
17884421021,50856258980,"build","completed","failure","2025-09-20T20:21:40Z","2025-09-20T20:30:10Z",510,"GitHub Actions 1000000124",1
17931158536,50988469557,"lint","completed","failure","2025-09-22T23:20:10Z","2025-09-22T23:20:31Z",21,"GitHub Actions 1000000125",1
17931158536,50988469559,"build","completed","failure","2025-09-22T23:20:10Z","2025-09-22T23:30:18Z",608,"GitHub Actions 1000000126",1
17931314504,50988883285,"lint","completed","failure","2025-09-22T23:28:23Z","2025-09-22T23:28:46Z",23,"GitHub Actions 1000000128",1
17931314504,50988883292,"build","completed","success","2025-09-22T23:28:24Z","2025-09-22T23:38:38Z",614,"GitHub Actions 1000000127",1
17931398203,50989124055,"lint","completed","failure","2025-09-22T23:33:31Z","2025-09-22T23:33:54Z",23,"GitHub Actions 1000000129",1
17931398203,50989124067,"build","completed","success","2025-09-22T23:33:31Z","2025-09-22T23:44:23Z",652,"GitHub Actions 1000000130",1
17931578466,50989652616,"build","completed","success","2025-09-22T23:45:46Z","2025-09-22T23:56:04Z",618,"GitHub Actions 1000000131",1
17931578466,50989652620,"lint","completed","failure","2025-09-22T23:45:46Z","2025-09-22T23:46:10Z",24,"GitHub Actions 1000000132",1
17932506778,50992350744,"lint","completed","failure","2025-09-23T00:44:37Z","2025-09-23T00:45:00Z",23,"GitHub Actions 1000000133",1
17932506778,50992350759,"build","completed","success","2025-09-23T00:44:37Z","2025-09-23T00:54:35Z",598,"GitHub Actions 1000000134",1
17933878270,50996050348,"build","completed","failure","2025-09-23T02:17:20Z","2025-09-23T02:25:37Z",497,"GitHub Actions 1000000136",1
17933878270,50996050349,"lint","completed","success","2025-09-23T02:17:21Z","2025-09-23T02:17:43Z",22,"GitHub Actions 1000000135",1
17934603376,50998332166,"build","completed","success","2025-09-23T03:08:15Z","2025-09-23T03:18:35Z",620,"GitHub Actions 1000000137",1
17934603376,50998332238,"lint","completed","success","2025-09-23T03:08:15Z","2025-09-23T03:08:35Z",20,"GitHub Actions 1000000138",1
17935048964,50999584439,"lint","completed","success","2025-09-23T03:37:42Z","2025-09-23T03:38:06Z",24,"GitHub Actions 1000000140",1
17935048964,50999584449,"build","completed","success","2025-09-23T03:37:42Z","2025-09-23T03:47:42Z",600,"GitHub Actions 1000000139",1
17959492995,51079232123,"lint","completed","success","2025-09-23T21:25:02Z","2025-09-23T21:25:23Z",21,"GitHub Actions 1000000142",1
17959492995,51079232136,"build","completed","success","2025-09-23T21:25:02Z","2025-09-23T21:35:58Z",656,"GitHub Actions 1000000141",1
17959579975,51079505499,"lint","completed","success","2025-09-23T21:28:57Z","2025-09-23T21:29:16Z",19,"GitHub Actions 1000000143",1
17959579975,51079505542,"build","completed","success","2025-09-23T21:28:58Z","2025-09-23T21:41:49Z",771,"GitHub Actions 1000000144",1
